,Content,Location,Username,Retweet-Count,Favorites,Created at
61,How Faculty Can ‘Click’ Their Way to a More Inclusive Classroom https://t.co/Im551aV4Mt #highered #distancelearning #edtech via @EdSurge,United States,DrBruceAJohnson,0,1,2020-08-01 23:58:36
62,Our fearless leader @ESArrillaga is going on @CNN tomorrow to talk #educationequity in a time of school closures and #distancelearning.  This is a comms director's dream come true. https://t.co/LqNXva75mc,"Oakland, CA",Stephongtweets,0,3,2020-08-01 23:56:29
63,Wrapped up the last week of Distance ESY with a bang! So proud of my kids and my team for creating a meaningful and effective summer program. We all learned SO MUCH! #distancelearning #clearthelist @ClearTheListorg @support_a_teach https://t.co/g0KG1KFQ1t,"Connecticut, USA",missdamone,0,0,2020-08-01 23:56:12
64,Stay tuned!  @ESArrillaga will be live Sunday morning 5amPT/8amET with @JohnKingCNN to discuss #educationequity and why it must be central to school opening efforts and #distancelearning. @CNNPolitics,"Oakland, CA",EdTrustWest,3,8,2020-08-01 23:54:50
65,"#Teachers and #DistanceLearning: ""We kind of just threw them out there and gave them a #Zoom link or gave them a Google Hangout or a #GoogleClassroom.""
#tech #RemoteTeaching #Education 
https://t.co/qu0mrZ7Ypx","Austin, TX",NewsForrest,1,0,2020-08-01 23:51:46
66,"My Bitmoji Interactive Music Classroom! #wearelesd #BitmojiClassroom  #DistanceLearning #edutwitter 

See the while video here
https://t.co/36GbKT4sni https://t.co/yxCxaYacIB","Bakersfield, CA",DenisePhelps,1,3,2020-08-01 23:51:06
67,"Love this Weekly Planner template! Can use in distance learning AND keep sharing on GC when we're back in class. (yes- optimistic for ""when"") #slidesmania #distancelearning https://t.co/Layi42mcXe",,BlaschkeErica,1,0,2020-08-01 23:47:19
68,"Video conferencing has allowed us to stay connected in recent months but it also brings risks. To help get ready for back to school, and potentially more #distancelearning, we've rated the top video conferencing tools being used. #privacy https://t.co/LdnywAMHi2","San Francisco, CA",CommonSenseEd,1,0,2020-08-01 23:44:03
69,Shout out to ALL the #Parents who are still obliging their kids in learning &amp; laughter. 😂📚 You rock! #ParentTeacher #ParentComedian #ParentCounselor Amazing. #distancelearning #summervacation,In Your Hearts and Hands,storm_jennings,1,1,2020-08-01 23:42:07
70,"https://t.co/Vg2AgIdjnR
Ideas for teaching your kids at home with the eLearning process. #EducationWithCOVID #newlife #parenting #kidsathome #distancelearning #Tips #StudentsLivesMatters #NewEducationPolicy","Arizona, USA",pixibliss,0,0,2020-08-01 23:35:23
71,"pixibliss | Past Experience with eLearning and how COVID Changed Everything https://t.co/Yw5x2XEHf1 via @YouTube
#momvlog #elearning #distancelearning #PublicSchools #education #parentinginapandemic #schoolsreopening #TeachingOnline","Arizona, USA",pixibliss,1,0,2020-08-01 23:33:29
72,Tune in August 4th for resources and guidance as we head back to school. Your SEIS Support team is here to assist you as well. #SpecialEducation #DistanceLearning #k12Strong https://t.co/NrsAhkGouz,SJCOE,SEISsupport,0,0,2020-08-01 23:33:22
73,"Always important to promote #reading everyday. I ask students at our school to read a minimum of 20 mins daily, many of them read more - #anxiety killer!  Give a child the gift of reading | #distancelearning #Education https://t.co/chVooPVa1S via @TheNationalUAE",United Kingdom and Bogota,gurnett_paul,0,0,2020-08-01 23:32:17
74,"@elizashapiro @DanaGoldstein More than 11 million students don’t have access to adequate tech at home. Our platform can provide vulnerable students with access to tech, school supplies, and mental health care packages to support distance learning. https://t.co/L1LoLgBNKR #distancelearning #digitaldivide",,EverestEffect,0,0,2020-08-01 23:31:03
75,Did #distancelearning make people more accepting of #edtech? Or more resistant? #teachers #edchat #elearning https://t.co/wCkudrbt11,Planet Braxos,QuandaryGame,3,1,2020-08-01 23:30:05
76,"Loving the #GOALearning course on #distancelearning.

Any tips for a #makerspace teacher?","Los Gatos, CA",embis_,0,0,2020-08-01 23:27:24
77,"@teachergal_ks Since we are continuing with #distancelearning, my greatest need is this tabletop pocket chart to use with my 1st graders during our math &amp; reading lessons.  #clearthelist 

$13.99

Thank you, and any help is greatly appreciated! 🍎🥰

https://t.co/X6WtarbneH https://t.co/HWNsLuPy8H","Los Angeles, CA",103_4Ever,10,3,2020-08-01 23:20:33
78,"My daughter is confused about distance learning. 
4yo: Since I'm going to be homeschooled, first I'm going to go to swimming school,  magic school hero school, princess school and then horseback riding school.

This fall is going to be a huge disappointment. 
#distancelearning","Athens, GA",PFGay,0,2,2020-08-01 23:19:50
79,"@aamy4ever @amazon Since we are continuing with #distancelearning, my greatest need is this tabletop pocket chart to use with my 1st graders during our math &amp; reading lessons. 

$13.99

Thank you, and any help is greatly appreciated! 🍎🥰❤️

https://t.co/X6WtarbneH https://t.co/YovQfjTFRm","Los Angeles, CA",103_4Ever,1,2,2020-08-01 23:18:59
